t_rel_s,fx,fy,fz,tx,ty,tz
4.1629,-0.15278,3.94846,-1.04443,0.16256,0.13135,0.08841
4.1726,-0.00484,3.72976,-1.16518,0.16350,0.13850,0.09187
4.1825,-0.56361,3.69640,-1.04731,0.17526,0.11637,0.09160
4.1925,0.02138,4.01401,-1.66226,0.17490,0.12142,0.08237
4.2027,0.10795,3.54517,-1.60441,0.16449,0.15574,0.09746
4.2125,-0.22754,3.81717,-1.14421,0.15747,0.12990,0.09396
4.2226,0.20704,4.02276,-1.48334,0.15523,0.13587,0.09509
4.2325,-0.13153,4.89427,-1.92093,0.12740,0.12666,0.09378
4.2425,-0.30922,3.97298,-1.24656,0.16388,0.10320,0.09118
4.2524,-0.58537,4.10535,-1.16778,0.17453,0.13225,0.09356
4.2626,0.03582,4.18124,-1.15887,0.15720,0.13109,0.09614
4.2724,-0.44215,3.89194,-1.58015,0.16025,0.10055,0.09721
4.2826,-0.25865,3.47393,-1.11490,0.18199,0.10270,0.09807
4.2925,-0.15934,3.18619,-1.66669,0.19112,0.13116,0.09972
4.3026,-1.45112,4.60978,-2.09859,0.14068,0.09608,0.10317
4.3124,-1.61246,3.26349,-1.01755,0.17623,0.10837,0.10535
4.3229,-0.71218,3.97285,-1.11677,0.15561,0.10510,0.10603
4.3327,-1.18299,5.64699,-1.67372,0.10583,0.09008,0.11084
4.3429,-1.26893,4.25073,-0.87327,0.14286,0.09823,0.11413
4.3524,-1.16371,4.03524,-0.55356,0.15759,0.10523,0.11656
4.3627,-0.86596,4.89971,-0.85715,0.12919,0.12396,0.11773
4.3725,-1.27861,5.03805,-0.87691,0.11943,0.09703,0.12024
4.3831,-1.14242,4.22266,-0.21250,0.14350,0.11368,0.12197
4.3927,-0.66842,3.57529,-1.02564,0.17134,0.10306,0.12363
4.4027,-1.32548,4.76501,-1.48125,0.13111,0.10982,0.13228
4.4129,-1.09617,3.49125,-0.45759,0.16329,0.10315,0.12921
4.4226,-0.77939,3.39290,-0.31216,0.16855,0.12235,0.11923
4.4325,-0.84817,5.30248,-1.38428,0.10857,0.12944,0.11959
4.4426,-0.60704,3.47326,-0.96762,0.14875,0.12667,0.12412
4.4524,0.39185,2.85382,-0.22006,0.16584,0.14418,0.11868
4.4625,-0.76262,3.27207,-0.32663,0.15326,0.13972,0.10363
4.4725,-0.36096,4.16670,-0.63021,0.13021,0.13093,0.10646
4.4823,-1.09367,4.06801,-0.40310,0.13744,0.11799,0.11526
4.4925,-0.42287,3.01098,-0.42141,0.18224,0.09826,0.13022
4.5026,-0.24186,3.90353,-0.79923,0.15129,0.14397,0.12473
4.5124,-1.01570,3.08624,0.03045,0.16361,0.10424,0.12327
4.5227,-0.84535,3.45637,0.27231,0.16264,0.10298,0.11437
4.5326,-0.08003,4.52043,-0.14465,0.11487,0.14927,0.12639
4.5426,-1.12104,3.44255,0.39184,0.13892,0.10820,0.13467
4.5528,-1.30753,3.36356,-0.16807,0.15400,0.08370,0.12491
4.5626,-1.49592,4.10875,-0.11970,0.12421,0.09918,0.11692
4.5726,-1.59501,3.72097,0.78582,0.12655,0.08798,0.12652
4.5825,-2.25831,4.25194,1.22782,0.11085,0.07338,0.12066
4.5924,-0.93166,3.50916,0.61444,0.15540,0.10803,0.12234
4.6025,0.08676,3.30620,0.17510,0.16553,0.13309,0.11534
4.6125,-1.88296,2.68113,0.78416,0.16958,0.06826,0.11029
4.6226,-1.86894,3.16214,0.79870,0.15864,0.07355,0.11650
4.6326,-1.85235,3.20618,0.57591,0.16238,0.07586,0.11608
4.6426,-2.75134,3.60019,1.07977,0.13922,0.05852,0.10958
4.6524,-2.24196,2.79132,1.48978,0.15920,0.05764,0.11425
4.6627,-1.96476,3.39762,1.30674,0.15073,0.08070,0.11580
4.6725,-1.78488,3.70442,1.42251,0.15442,0.09054,0.12018
4.6823,-1.88860,3.51794,0.84833,0.13486,0.06934,0.11197
4.6924,-1.71250,3.17990,0.85501,0.15447,0.08905,0.11008
4.7024,-2.22220,2.91278,0.73296,0.15845,0.07210,0.11275
4.7127,-1.69810,2.86253,1.02745,0.14736,0.06256,0.11462
4.7226,-2.41259,3.16571,1.31604,0.15747,0.06970,0.11722
4.7324,-2.06170,3.54411,1.04315,0.14262,0.08226,0.11067
4.7424,-1.93890,3.35755,0.90072,0.15120,0.07205,0.10519
4.7528,-1.67024,3.23446,0.43101,0.14587,0.07912,0.10781
