t_rel_s,x,y,z,qx,qy,qz,qw
2.7391,0.157733,0.474997,0.542830,0.146727,0.988713,-0.023755,0.018794
2.7495,0.157780,0.475926,0.542048,0.146263,0.988781,-0.023832,0.018749
2.7590,0.157831,0.476880,0.541266,0.145820,0.988845,-0.023888,0.018736
2.7691,0.157882,0.477805,0.540542,0.145359,0.988913,-0.023887,0.018756
2.7791,0.157974,0.478674,0.539839,0.144973,0.988968,-0.023905,0.018787
2.7893,0.158037,0.479449,0.539265,0.144617,0.989021,-0.023837,0.018866
2.7991,0.158111,0.480185,0.538729,0.144303,0.989068,-0.023690,0.018959
2.8090,0.158161,0.480800,0.538303,0.144041,0.989108,-0.023519,0.019067
2.8190,0.158209,0.481387,0.537949,0.143802,0.989146,-0.023264,0.019217
2.8292,0.158258,0.481856,0.537716,0.143641,0.989173,-0.022955,0.019397
2.8392,0.158300,0.482284,0.537523,0.143469,0.989202,-0.022631,0.019574
2.8491,0.158338,0.482642,0.537380,0.143358,0.989223,-0.022301,0.019748
2.8592,0.158349,0.482972,0.537312,0.143219,0.989247,-0.021887,0.019969
2.8694,0.158373,0.483252,0.537263,0.143129,0.989265,-0.021500,0.020152
2.8794,0.158383,0.483522,0.537231,0.143041,0.989282,-0.021090,0.020360
2.8892,0.158388,0.483753,0.537273,0.142942,0.989302,-0.020615,0.020599
2.8990,0.158401,0.483972,0.537281,0.142887,0.989315,-0.020181,0.020803
2.9090,0.158414,0.484160,0.537356,0.142827,0.989328,-0.019676,0.021049
2.9192,0.158428,0.484365,0.537381,0.142756,0.989343,-0.019217,0.021281
2.9291,0.158451,0.484556,0.537442,0.142697,0.989356,-0.018688,0.021519
2.9393,0.158468,0.484724,0.537524,0.142646,0.989367,-0.018166,0.021794
2.9495,0.158498,0.484909,0.537593,0.142597,0.989379,-0.017643,0.022016
2.9591,0.158514,0.485071,0.537674,0.142561,0.989387,-0.017115,0.022274
2.9693,0.158540,0.485234,0.537736,0.142524,0.989396,-0.016628,0.022513
2.9791,0.158549,0.485383,0.537789,0.142467,0.989407,-0.016191,0.022712
2.9890,0.158575,0.485565,0.537785,0.142415,0.989416,-0.015832,0.022889
2.9990,0.158613,0.485775,0.537753,0.142360,0.989425,-0.015490,0.023049
3.0091,0.158673,0.486011,0.537665,0.142290,0.989436,-0.015200,0.023200
