t_rel_s,gello_grip,grip_cmd,grip_pos
15.2578,1.0000,0.9996,0.8980
15.2905,1.0000,0.9996,0.8980
15.3240,1.0000,0.9996,0.8980
15.3575,1.0000,0.9996,0.8980
15.3909,1.0000,0.9996,0.8980
15.4243,1.0000,0.9996,0.8980
15.4572,1.0000,0.9996,0.8980
15.4582,1.0000,0.9996,0.8980
15.4906,1.0000,0.9996,0.8980
15.5239,1.0000,0.9996,0.8980
15.5573,1.0000,0.9996,0.8980
15.5905,1.0000,0.9996,0.8980
15.6240,1.0000,0.9996,0.8980
15.6572,1.0000,0.9996,0.8980
15.6581,1.0000,0.9996,0.8980
15.6906,1.0000,0.9996,0.8980
15.7240,1.0000,0.9996,0.8980
15.7572,1.0000,0.9996,0.8980
15.7904,1.0000,0.9996,0.8980
15.8241,1.0000,0.9996,0.8980
15.8572,1.0000,0.9996,0.8980
15.8583,1.0000,0.9996,0.8980
15.8907,1.0000,0.9996,0.8980
15.9240,1.0000,0.9996,0.8980
15.9572,1.0000,0.9996,0.8980
15.9906,1.0000,0.9996,0.8980
16.0241,1.0000,0.9996,0.8980
16.0572,1.0000,0.9996,0.8980
16.0583,1.0000,0.9996,0.8980
16.0906,1.0000,0.9996,0.8980
16.1239,1.0000,0.9996,0.8980
16.1575,1.0000,0.9996,0.8980
16.1909,1.0000,0.9996,0.8980
16.2243,1.0000,0.9996,0.8980
16.2572,1.0000,0.9996,0.8980
16.2579,1.0000,0.9996,0.8980
16.2908,1.0000,0.9996,0.8980
16.3240,1.0000,0.9996,0.8980
16.3572,1.0000,0.9996,0.8980
16.3908,1.0000,0.9996,0.8980
16.4241,1.0000,0.9996,0.8980
16.4572,1.0000,0.9996,0.8980
16.4580,1.0000,0.9996,0.8980
16.4905,1.0000,0.9996,0.8980
16.5240,1.0000,0.9996,0.8980
16.5573,1.0000,0.9996,0.8980
16.5906,1.0000,0.9996,0.8980
16.6240,1.0000,0.9996,0.8980
16.6572,1.0000,0.9996,0.8980
16.6581,1.0000,0.9996,0.8980
16.6905,1.0000,0.9996,0.8980
16.7239,1.0000,0.9996,0.8980
16.7574,1.0000,0.9996,0.8980
16.7906,1.0000,0.9996,0.8980
16.8240,1.0000,0.9996,0.8980
16.8574,1.0000,0.9996,0.8980
16.8583,1.0000,0.9996,0.8980
16.8907,1.0000,0.9996,0.8980
16.9240,1.0000,0.9996,0.8980
16.9573,1.0000,0.9996,0.8980
16.9907,1.0000,0.9996,0.8980
17.0240,1.0000,0.9996,0.8980
17.0572,1.0000,0.9996,0.8980
17.0583,1.0000,0.9996,0.8980
17.0905,1.0000,0.9996,0.8980
17.1239,1.0000,0.9996,0.8980
17.1571,1.0000,0.9996,0.8980
17.1906,1.0000,0.9996,0.8980
17.2241,1.0000,0.9996,0.8980
17.2571,1.0000,0.9996,0.8980
17.2579,1.0000,0.9996,0.8980
17.2905,1.0000,0.9996,0.8980
17.3239,1.0000,0.9996,0.8980
17.3573,1.0000,0.9996,0.8980
17.3906,1.0000,0.9996,0.8980
17.4241,1.0000,0.9996,0.8980
17.4574,1.0000,0.9996,0.8980
17.4584,1.0000,0.9996,0.8980
17.4906,1.0000,0.9996,0.8980
17.5241,1.0000,0.9996,0.8980
17.5573,1.0000,0.9996,0.8980
17.5908,1.0000,0.9996,0.8980
17.6242,1.0000,0.9996,0.8980
17.6573,1.0000,0.9996,0.8980
17.6580,1.0000,0.9996,0.8980
17.6906,1.0000,0.9996,0.8980
17.7242,1.0000,0.9996,0.8980
17.7573,1.0000,0.9996,0.8980
17.7908,1.0000,0.9996,0.8980
17.8242,1.0000,0.9996,0.8980
17.8573,1.0000,0.9996,0.8980
17.8580,1.0000,0.9996,0.8980
17.8906,1.0000,0.9996,0.8980
17.9241,1.0000,0.9996,0.8980
17.9576,1.0000,0.9996,0.8980
17.9905,1.0000,0.9996,0.8980
18.0238,1.0000,0.9996,0.8980
18.0570,1.0000,0.9996,0.8980
18.0579,1.0000,0.9996,0.8980
18.0906,1.0000,0.9996,0.8980
18.1239,0.9191,0.9996,0.8980
18.1241,0.9191,0.9191,0.8980
18.1572,0.8350,0.9191,0.8980
18.1574,0.8350,0.8350,0.8980
18.1908,0.8113,0.8350,0.8980
18.1910,0.8113,0.8113,0.8980
18.2238,0.8110,0.8113,0.8980
18.2573,0.8069,0.8113,0.8980
18.2579,0.8069,0.8113,0.8902
18.2907,0.7943,0.8113,0.8902
18.3240,0.7651,0.8113,0.8902
18.3242,0.7651,0.7651,0.8902
18.3573,0.7294,0.7651,0.8902
18.3575,0.7294,0.7294,0.8902
18.3907,0.7082,0.7294,0.8902
18.3909,0.7082,0.7082,0.8902
18.4240,0.7039,0.7082,0.8902
18.4571,0.6934,0.7082,0.8902
18.4580,0.6934,0.7082,0.8039
18.4907,0.6725,0.7082,0.8039
18.4909,0.6725,0.6725,0.8039
18.5250,0.6535,0.6725,0.8039
18.5572,0.6450,0.6725,0.8039
18.5575,0.6450,0.6450,0.8039
18.5907,0.6262,0.6450,0.8039
18.6242,0.5990,0.6450,0.8039
18.6243,0.5990,0.5990,0.8039
18.6573,0.5758,0.5990,0.8039
18.6575,0.5758,0.5758,0.8039
18.6862,0.5758,0.5758,0.6471
18.6906,0.5402,0.5758,0.6471
18.6908,0.5402,0.5402,0.6471
18.7240,0.5169,0.5402,0.6471
18.7241,0.5169,0.5169,0.6471
18.7573,0.5042,0.5169,0.6471
18.7907,0.4874,0.5169,0.6471
18.7909,0.4874,0.4874,0.6471
18.8241,0.4747,0.4874,0.6471
18.8572,0.4580,0.4874,0.6471
18.8574,0.4580,0.4580,0.6471
18.8583,0.4580,0.4580,0.5451
18.8905,0.4349,0.4580,0.5451
18.8909,0.4349,0.4349,0.5451
18.9240,0.4180,0.4349,0.5451
18.9571,0.4054,0.4349,0.5451
18.9575,0.4054,0.4054,0.5451
18.9908,0.3907,0.4054,0.5451
19.0241,0.3801,0.4054,0.5451
19.0244,0.3801,0.3801,0.5451
19.0575,0.3529,0.3801,0.5451
19.0578,0.3529,0.3529,0.5451
19.0862,0.3529,0.3529,0.4078
19.0905,0.3402,0.3529,0.4078
19.1240,0.3130,0.3529,0.4078
19.1242,0.3130,0.3130,0.4078
19.1573,0.2586,0.3130,0.4078
19.1578,0.2586,0.2586,0.4078
19.1906,0.2331,0.2586,0.4078
19.1910,0.2331,0.2331,0.4078
19.2240,0.2287,0.2331,0.4078
19.2574,0.2224,0.2331,0.4078
19.2581,0.2224,0.2331,0.3608
19.2907,0.1828,0.2331,0.3608
19.2910,0.1828,0.1828,0.3608
19.3239,0.1657,0.1828,0.3608
19.3574,0.1551,0.1828,0.3608
19.3578,0.1551,0.1551,0.3608
19.3909,0.1155,0.1551,0.3608
19.3912,0.1155,0.1155,0.3608
19.4241,0.0152,0.1155,0.3608
19.4243,0.0152,0.0152,0.3608
19.4573,0.0141,0.0152,0.3608
19.4867,0.0141,0.0152,0.1529
19.4907,0.0141,0.0152,0.1529
19.5239,0.0141,0.0152,0.1529
19.5572,0.0141,0.0152,0.1529
19.5906,0.0141,0.0152,0.1529
19.6240,0.0141,0.0152,0.1529
19.6572,0.0141,0.0152,0.1529
19.6583,0.0141,0.0152,0.0196
19.6905,0.0141,0.0152,0.0196
19.7239,0.0141,0.0152,0.0196
19.7571,0.0141,0.0152,0.0196
19.7906,0.0141,0.0152,0.0196
19.8240,0.0141,0.0152,0.0196
19.8572,0.0141,0.0152,0.0196
19.8581,0.0141,0.0152,0.0157
19.8906,0.0141,0.0152,0.0157
19.9241,0.0141,0.0152,0.0157
19.9572,0.0141,0.0152,0.0157
19.9905,0.0141,0.0152,0.0157
20.0238,0.0141,0.0152,0.0157
20.0571,0.0141,0.0152,0.0157
20.0581,0.0141,0.0152,0.0157
20.0907,0.0141,0.0152,0.0157
20.1240,0.0141,0.0152,0.0157
20.1573,0.0141,0.0152,0.0157
20.1915,0.0141,0.0152,0.0157
20.2239,0.0141,0.0152,0.0157
20.2574,0.0141,0.0152,0.0157
20.2580,0.0141,0.0152,0.0157
